ID NUTS YYYY MM 0 BAREA
548 CZ062 2006 09 3 0.89482
549 CZ062 2006 10 3 4.11491
550 CZ062 2006 12 2 0.00152595
551 CZ071 2006 04 2 7.06965
552 CZ071 2006 06 2 0.00274927
553 CZ071 2006 07 2 1.31209
554 CZ071 2006 08 3 0.0133259
555 CZ071 2006 09 3 0.197024
556 CZ071 2006 10 2 0.0410324
557 CZ072 2006 04 2 0.224868
558 CZ072 2006 07 5 1.48377
559 CZ072 2006 09 2 0.171342
560 CZ072 2006 10 2 0.00245432
561 CZ080 2005 04 2 10.6867
562 CZ080 2006 04 2 9.4722
563 CZ080 2006 06 3 1.14109
564 CZ080 2006 07 3 3.12406
565 CZ080 2006 08 2 0.00515456
566 CZ080 2006 09 2 0.0758536
567 CZ080 2006 10 2 1.98264
568 DE121 1997 05 2 0.232016
569 DE121 2003 08 2 0.162159
570 DE122 1997 05 2 0.0637817
571 DE122 2000 08 4 0.593662
572 DE122 2003 08 2 0.866864
573 DE122 2006 03 2 0.0938842
574 DE122 2006 04 4 0.0366267
575 DE123 1998 04 2 0.434829
576 DE123 1999 03 2 1.03189
577 DE123 2000 08 3 0.0606876
578 DE123 2003 04 3 0.114334
579 DE123 2003 05 2 0.0295618
580 DE123 2003 08 5 0.392577
581 DE124 1997 03 2 1.28501
582 DE124 1998 03 2 0.0796515
583 DE124 2000 06 3 0.041517
584 DE124 2001 07 2 0.081426
585 DE124 2003 03 2 0.255276
586 DE124 2003 06 2 0.142021
587 DE124 2003 07 3 2.2447
588 DE124 2003 08 2 0.0609876
589 DE124 2003 09 2 0.0136845
590 DE124 2006 05 2 0.124872
591 DE125 1997 05 2 0.107349
592 DE126 1999 03 2 0.161851
593 DE126 2003 03 2 0.0330138
594 DE126 2003 07 2 0.0148902
595 DE126 2003 08 4 0.182073
596 DE127 1999 06 2 0.164155
597 DE127 2003 04 3 1.72321
598 DE127 2003 08 3 0.112151
599 DE127 2003 09 2 0.0655755
600 DE128 1997 04 2 0.340913
601 DE128 1999 04 2 2.56944
602 DE128 1999 05 2 0.0157669
603 DE128 1999 07 2 0.0745548
604 DE128 1999 09 2 0.00695462
605 DE128 1999 11 2 0.00687936
606 DE128 2001 09 3 0.076065
607 DE128 2003 04 2 0.218954
608 DE128 2003 06 2 0.0558414
609 DE128 2003 07 2 0.0110147
610 DE128 2003 08 2 3.89687
